legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Amoroso Companies,amoroso-co.com,,,,,,,,linkedin.com/company/amoroso-companies,,Syndication,"Hotel, Multifamily, Office, Retail, Single Family, Storage",,,,,,
Lloyd Jones,lloydjonesllc.com,Miami,Florida,33131,,1001,Brickell Bay Drive,United States,linkedin.com/company/lloyd-jones-llc,1200000000,Syndication,"Hotel, Multifamily, Senior Living",,,,,,
AWH Partners,awhpartners.com,New York,New York,10018,,1040,6th Avenue,United States,linkedin.com/company/awh-partners,,Syndication,Hotels,,,,,,
Excel Group,excelgp.com,,,,,,,,,9500000000,Syndication,Hotels,,,,,,
Gatehouse Capital,gatehousecapital.com,,,,,,,,,,Syndication,Hotels,,,,,,
Legendary Capital,legendarycap.com,Fargo,North Dakota,58103,,1635,43rd Street South,United States,linkedin.com/company/legendary-capital,,,Hotels,,,,,,
Wright Investments,wrightinvestments.com,Memphis,Tennessee,38018,,277,German Oak Drive,United States,linkedin.com/company/wright-investment-properties,,Syndication,Hotels,,,,,,
Gentry Mills Capital,gentrymillscapital.com,Westlake,Texas,76262,,1301,Solana Boulevard,United States,linkedin.com/company/gentry-mills-capital-llc,500000000,Syndication,"Hotels, Commercial",,,,,,
Grass River Property LLC,grassriver.com,,,,,,,,linkedin.com/company/grass-river-property/,,,"Hotels, Commercial",,,,,,
Phoenix Development Partners,phoenixdevelopmentpartners.com,Chicago,Illinois,,,,,United States,https://www.linkedin.com/company/phoenix-development-partners/,,,"Hotels, Commercial",,,,,,
Wrong Way River Lodge & Cabins,wrongwaycampground.com,Asheville,North Carolina,28806,,9,Midnight Drive,United States,,,,"Hotels, Resorts",,,,,,
Yang Capital,yangcapitalgroup.com,,,,,,,,,,Syndication,"Hotels, Resorts",,,,,,
9606 Capital,9606capital.com,,,,,,,,linkedin.com/company/9606-capital,,Syndication,Industrial,,,,,,
Acies Group,aciesre.com,Markham,Illinois,,,,,United States,linkedin.com/company/acies-re,,,Industrial,,,,,,
AmCap,amcap.com,Stamford,Connecticut,,,,,United States,linkedin.com/company/amcap-incorporated,,Syndication,Industrial,,,,,,
Badiee Development,badieedevelopment.com,San Diego,California,92037,,1261,Prospect Street,United States,linkedin.com/company/badiee-development,,Syndication,Industrial,,,,,,
Brass Cap Development,brasscap.com,,,,,,,,,,Syndication,Industrial,,,,,,
Brit Properties,britproperties.com,,,,,,,,,,Syndication,Industrial,,,,,,
Cardinal Industrial,cardindust.com,,,,,,,,,1800000000,Syndication,Industrial,,,,,,
AZ Opportunity Fund,azofund.com,Scottsdale,Arizona,,,,,United States,,,Fund,Industrial,,,,,,
NorthBridge Partners,northbridgecre.com,Boston,Massachusetts,02110,,3,Post Office Square,United States,linkedin.com/company/northbridge-cre-advisors,,Syndication,Industrial,,,,,,
Open Industrial,openindustrial.com,,,,,,,Canada,,,Syndication,Industrial,,,,,,
Wayne Capital Partners,waynecapitalpartners.com,,,,,,,,,,Syndication,Industrial,,,,,,
Westmount Realty Capital,westmountrc.com,Dallas,Texas,75201,,700,North Pearl Street,United States,linkedin.com/company/westmount-realty-capital-llc,,Syndication,Industrial,,,,,,
The Woodmont Company,woodmont.com,Fort Worth,Texas,76107,,2100,West 7th Street,United States,linkedin.com/company/the-woodmont-company,,Syndication,Industrial,,,,,,
Workshop Development,workshopdev.com,,,,,,,,,,Syndication,Industrial,,,,,,
Xebec Holdings,xebecrealty.com,Seal Beach,California,90740,,3010,Old Ranch Parkway,United States,linkedin.com/company/xebec-realty-partners,,Syndication,Industrial,,,,,,
Innovo,innovogroup.com,,,,,,,,linkedin.com/company/theinnovogroup,,Syndication,Industrial,,,,,,
USG Realty Capital,usgre.com,Santa Barbara,California,93101,,,California 1,United States,linkedin.com/company/usg-realty-capital,,Fund,"Industrial, Commercial",,,,,,
Vertical Ventures,verticalventuresllc.com,,,,,,,,,,Syndication,"Industrial, Commercial",,,,,,
Gould Investors,gouldlp.com,Great Neck,New York,11021,,60,Cuttermill Road,United States,linkedin.com/company/gould-investors-l.p.,,Syndication,"Industrial, Land, Mixed Use, Multifamily, Office, Retail",,,,,,
Finial Group,finialgroup.com,Houston,Texas,77055,,8381,Westview Drive,United States,linkedin.com/company/finial-group,,Syndication,"Industrial, Land, Office",,,,,,
Junction Commercial Real Estate,junctionusa.com,,,,,,,Canada,linkedin.com/company/junctioncre,,,"Industrial, Land, Special Purpose",,,,,,
The O Donnell Group,odonnellgroup.com,,,,,,,,,,Syndication,"Industrial, Management",,,,,,
Acquity Realty,acquityrealty.com,,,,,,,,,,,"Industrial, Mixed Use, Office, Residential",,,,,,
Great Lakes Capital,greatlakescapital.com,South Bend,Indiana,46601,,112,West Jefferson Boulevard,United States,linkedin.com/company/great-lakes-capital,905000000,Syndication,"Industrial, Mixed Use, Retail, Multifamily, Hospitality",,,,,,
NorthPoint Development,beyondthecontract.com,Kansas City,Missouri,,,,,United States,https://www.linkedin.com/company/northpoint-development/,,Syndication,"Industrial, Multifamily",,,,,,
Hanson Capital Group,hansonre.com,,,,,,,,linkedin.com/company/hanson-capital,,Fund or Syndication,"Industrial, Multifamily",,,,,,
Novaya Real Estate Ventures,novayaventures.com,,,,,,,,,,Syndication,"Industrial, Multifamily",,,,,,
Humphreys Capital,humphreyscapital.com,Oklahoma City,Oklahoma,73109,,1801,Wheeler Street,United States,linkedin.com/company/humphreyscapital,,Syndication,"Industrial, Multifamily, Office, Retail",,,,,,
Saxum Real Estate,saxumre.com,,,,,,,,,,Fund,"Industrial, Multifamily, Office, Student Housing",,,,,,
Diamond Realty Holdings,diamondrh.com,Chicago,Illinois,,,,,United States,,,Syndication,"Industrial, Office",,,,,,
Griffith Properties,griffithproperties.com,,,,,,,,linkedin.com/company/griffith-properties-llc,,Syndication,"Industrial, Office",,,,,,
Denholtz Properties,denholtz.com,Red Bank,New Jersey,07701,,116,Chestnut Street,United States,linkedin.com/company/denholtz-properties,1600000000,Syndication,"Industrial, Office, Retail, Multifamily",,,,,,
Foxfield Real Estate,foxfieldrealestate.com,,,,,,,,linkedin.com/company/foxfieldllc,1500000000,Syndication,"Industrial, Residential",,,,,,
Adler Development,adlerdev.com,,,,,,,,linkedin.com/company/adler-development,,Syndication,"Industrial, Warehouse, Office Buildings, Apartments",,,,,,
Walton Global,walton.com,,,,,,,,,,Syndication,Land,,,,,,
APG Capital,aacre.com,Raleigh,North Carolina,27607,,1201,Edwards Mill Road,United States,linkedin.com/company/apgcapital,750000000,Syndication,"Land, Commercial",,,,,,
HomeFed Corporation,hfc-ca.com,,,,,,,Canada,,,,"Land, Multifamily, Commercial",,,,,,
Trinity Capital,trinitycapitaladvisors.com,Charlotte,North Carolina,,,,,United States,,,Syndication,"Life Science, Industrial, Office",,,,,,
Alfie,alfieloans.com,Asheville,North Carolina,28801,,362,Depot Street,United States,linkedin.com/company/alfieloans,,Fund,Loans,,,,,,
Equity Estates,equityestatesfund.com,Atlanta,Georgia,,,,,United States,,,Syndication,Luxury Residence,,,,,,
Fairway America,fairwayamerica.com,Tigard,Oregon,97224,,6650,Southwest Redwood Lane,United States,linkedin.com/company/fairway-america,1200000000,Fund or Syndication,Management,,,,,,
GAIN CRE Services,gaincre.com,,,,,,,,,,,Management,,,,,,
Genter Capital Management,gentercapitalmanagement.com,Los Angeles,California,90025,,11601,Wilshire Boulevard,United States,linkedin.com/company/genter-capital-management,,,Management,,,,,,
RNC Genter Capital Management,rncgenter.com,,,,,,,,,,Syndication,Management,,,,,,
Rockstar Capital,rockstar-capital.com,,,,,,,,,,Syndication,Management,,,,,,
Shorepine Wealth Management,shorepinewealth.com,,,,,,,,,,,Management,,,,,,
SilverTree Realty,silvertreerealtyco.com,Columbia,Missouri,,,,,United States,,,Syndication,Management,,,,,,
RealKo Asset Management,realkoam.com,Kansas City,Missouri,64108,,2600,Grand Boulevard,United States,linkedin.com/company/realko-asset-managment,800000000,Syndication,"Management, Commercial",,,,,,
RANE Property Management,ranemgmt.com,Bowmansville,New York,14026,,5360,Genesee Street,United States,linkedin.com/company/rane-property-management-llc,,Syndication,"Management, Construction",,,,,,
The Premier Companies,premierinvestment.com,Bethesda,Maryland,20814,,7910,Woodmont Avenue,United States,linkedin.com/company/the-premier-companies,,Syndication,"Management, Construction, Acquisition",,,,,,
Rising Realty Partners,risingrp.com,,,,,,,,,1570000,Syndication,"Management, Construction, Acquisitions, Development",,,,,,
Rhino Capital Advisors,rhinocapitalllc.com,,,,,,,,,25,Syndication,"Management, Office",,,,,,
savanna,savannafund.com,New York,New York,10022,,430,Park Avenue,United States,linkedin.com/company/savanna-real-estate-fund,,Syndication,"Management, Office, Industrial",,,,,,
Realterm,realterm.com,,,,,,,,,1110000,Syndication,"Management, Storage",,,,,,
Precision Global,precisionglobalcorp.com,Dallas,Texas,75243,,9330,Lyndon B Johnson Freeway,United States,linkedin.com/company/precision-global-corporation,,Syndication,"Management, Storage, Senior housing",,,,,,
