legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Promanas,promanas.com,Ann Arbor,Michigan,48103,,2433,Oak Valley Drive,United States,linkedin.com/company/promanas,1000,Syndication,,,,,,,
Próspera,prospera.hn,,,,,,,,,,,,,,,,,
Provision Capital,provisioncapital.com,Dallas,Texas,75201,,1920,McKinney Avenue,United States,linkedin.com/company/provision-capital,,,,,,,,,
Rainbow Realty Group,rainbowrg.com,New York,New York,10022,,500,Park Avenue,United States,linkedin.com/company/rainbowrg,,,,,,,,,
RealAssets,realassets.com,,,,,,,,,,,,,,,,,
Redwood Capital Group,redwoodcapgroup.com,,,,,,,,,,,,,,,,,
Reliance Investors,relianceinvestors.com,,,,,,,,,,,,,,,,,
REM Capital,remcapital.com,Sheridan,Wyoming,82801,,,,United States,linkedin.com/company/rem-capital,,,,,,,,,
Republic Properties Corporation,republic-urban.com,,,,,,,,,,,,,,,,,
RERX Capital Inc,rerxcapital.com,,,,,,,,linkedin.com/company/rerxcapital,,,,,,,,,
MCB Capital,mcbcapitalmarkets.mu,Dallas,Texas,,,,,United States,,,Fund,,,,,,,
Rhodium Asset Management,rhodiumlp.com,,,,,,,,,,,,,,,,,
Kingsdel Real Estate,kingsdelrealestate.com,,,,,,,Canada,linkedin.com/company/kingsdel-real-estate,,,,,,,,,
River Queen Holdings LLC Opportunity Zone Fund,riverqueenbishop.com,Bishop,California,93514,,,,United States,,,Fund,,,,,,,
Rockstar Capital Development Group,rockstarcapitalfund.com,,,,,,,,,,,,,,,,,
RSE Capital Partners,"rsecap.com, fundrise.com",Washington,District of Columbia,20036,9th floor,11,Dupont Circle Northwest,United States,linkedin.com/company/rse-capital-partners,,,,,,,,,
S3 Your Financial Future,s3yourfinancialfuture.invportal.com,,,,,,,Canada,,,,,,,,,,
SA&B Group,saandbnamibia.com,,,,,,,,,,,,,,,,,
SALT Dev,saltdev.com,Salt Lake City,Utah,84103,,205,North 400 West,United States,linkedin.com/company/salt-dev,,,,,,,,,
SANTÉ Realty Investments,santerealty.com,Tempe,Arizona,85282,,4440,South Rural Road,United States,linkedin.com/company/sante-international,,Fund,,,,,,,
Saranac Holdings,saranacholdings.com,,,,,,,Canada,,,,,,,,,,
Saratoga Group,saratogagroup.com,,,,,,,Canada,linkedin.com/company/the-saratoga-group,,,,,,,,,
White Rock Real Estate,whiterockre.com,Salt Lake City,Utah,,,,,United States,,,,,,,,,,
Senior Housing Investment Partners,seniorhousinginvestmentpartners.com,Sheridan,Wyoming,82801,,,,United States,,,,,,,,,,
Seven West Capital,sevenwestcap.com,,,,,,,,,,,,,,,,,
Shannon Robnett Industries,shannonrobnett.com,Meridian,Idaho,83642,,3277,East Louise Drive,United States,linkedin.com/company/shannon-robnett-industries,120,Syndication,,,,,,,
Short Term Sage,shorttermsage.com,,,,,,,Canada,,,,,,,,,,
simpliHŌM,simplihom.com,Brentwood,Tennessee,,,,,United States,https://www.linkedin.com/company/simplihom/,,,,,,,,,
"Secured lending Group, LLC",slg.llc,,,,,,,,,,,,,,,,,
Heartland America,smillsco.com,,,,,,,,,,,,,,,,,
Smith & Company,smithcpas.com,San Rafael,California,94901,,1527,Fifth Avenue,United States,linkedin.com/company/smith-company-cpa-s,,,,,,,,,
Qi Capital,solutions88.com,,,,,,,,,,,,,,,,,
Sorensen Entity Services,sorensenes.com,Glen Allen,Virginia,,,,,United States,,,,,,,,,,
Spartan Invest,spartaninvest.com,,,,,,,,,,,,,,,,,
Speedwagon Capital Partners,speedwagonproperties.com,,,,,,,,,,,,,,,,,
Sperry Equities,sperryequities.com,Irvine,California,,,,,United States,linkedin.com/company/sperry-equities-llc,,,,,,,,,
Fibo Technologies,stern.nyu.edu,,,,,,,Canada,,,,,,,,,,
Stonemont Financial,stonemontfinancial.com,Atlanta,Georgia,30305,,3280,Peachtree Road Northeast,United States,linkedin.com/company/stonemont-financial-group-llc,,,,,,,,,
Guerrier Development,storyvillegardens.com,Nashville,Tennessee,,,,,United States,,,,,,,,,,
Stout Cap,stoutbuild.com,,,,,,,Canada,,,,,,,,,,
Stomp Capital,str.university,,,,,,,,,,,,,,,,,
Strategic MHP Fund,strategicmhpfund.com,,,,,,,,,,,,,,,,,
Strawberry Fields OK,strawberryfieldsok.com,,,,,,,,,,,,,,,,,
Strive Wealth Builders,strivewealthbuilders.com,Albany,California,94706,,828,San Pablo Avenue,United States,linkedin.com/company/strive-wealth-builders-inc-,,,,,,,,,
Suncrest Capital,suncrestcap.com,,,,,,,,,,,,,,,,,
Swinerton,swinerton.com,,,,,,,,,,,,,,,,,
Southwestern Investment Advisors,southwestinvestmentadvisors.com,Denver,Colorado,,,,,United States,linkedin.com/company/siatucson,,,,,,,,,
T2 Capital Management,t2investments.com,,,,,,,,,"1470000000",,,,,,,,
Tapestry Senior Housing Management,tapestrysenior.com,Bloomington,Minnesota,55425,,2001,Killebrew Drive,United States,linkedin.com/company/tapestry-seniorliving,,,,,,,,,
Epoch Investment Partners,td.com,Toronto,Ontario,M5H 3C2,,55,King Street West,Canada,linkedin.com/company/td,,,,,,,,,
Techvestor,techvestor.com,San Francisco,California,,,,,United States,linkedin.com/company/techvestor,,,,,,,,,
Tepuy Properties,tepuyproperties.com,Boulder,Colorado,,,,,United States,,,,,,,,,,
Angelina Capital Management,texasrealestate.org,,,,,,,,linkedin.com/company/angelinacapital,,,,,,,,,
The BAM Companies,thebamcompanies.com,Carmel,Indiana,46032,,11711,North Pennsylvania Street,United States,linkedin.com/company/thebamcompanies,,,,,,,,,
Capital Giants,capitalgiants.com,,,,,,,Canada,,,,,,,,,,
Crown Financial,thecrownpartners.com,,,,,,,,,,,,,,,,,
CURATED.,thecurated.group,Miami Beach,Florida,,,,,United States,linkedin.com/company/thinkcurated,,,,,,,,,
"The Davenport Group, Inc",thedavenportgroup.com,,,,,,,,,,,,,,,,,
The Firm Commercial,thefirmcommercial.com,Palm Springs,California,92262,,431,South Palm Canyon Drive,United States,linkedin.com/company/the-firm-commercial,,,,,,,,,
The Firm Capital Group,thefirmcapitalgroup.com,,,,,,,,linkedin.com/in/amgilbert,,,,,,,,,
The Holleran Group,theholleran.com,,,,,,,,linkedin.com/company/theholleran,,,,,,,,,
Mid Atlantic Secured Income Fund,themidatlanticfund.com,,,,,,,,,,Fund,,,,,,,
The Renaissance Companies,therenaissancecompanies.com,Chicago,Illinois,60647,,2001,West Churchill Street,United States,linkedin.com/company/the-renaissance-companies,,,,,,,,,
The RV Lifestyle,thervlifestyle.com,Greenfield,Indiana,46140,,2573,West 100 North,United States,https://www.linkedin.com/company/rvlifestyle/about/,,,,,,,,,
Third IV Properties,thirdivproperties.com,,,,,,,,,,,,,,,,,
Thomas Strafford Investments,thomas-strafford.com,San Diego,California,92102,,2801,B Street,United States,,,,,,,,,,
PowerShift Properties,thomison.com,,,,,,,Canada,,,,,,,,,,
Three Trains Partners,threetrains.com,,,,,,,,,,,,,,,,,
Thrivelab,thrivelab.com,,,,,,,Canada,,,,,,,,,,
Timberland Partners,timberlandpartners.com,,,,,,,,,,,,,,,,,
Transcendent Electra,timgmt.com,,,,,,,,,,,,,,,,,
Investor Loan Source,tivejo.com,,,,,,,,,,,,,,,,,
TM1 Properties,tm1properties.com,,,,,,,,,,,,,,,,,
TriArc Living,triarcliving.com,Spring,Texas,77373,,,,United States,,,,,,,,,,
Tricore Investment Group,tricoreinvestmentgroup.com,,,,,,,Canada,linkedin.com/company/tricore-investment-group,,,,,,,,,
Tri-Land Properties,trilandproperties.com,,,,,,,United States,,,,,,,,,,
Trion Properties,trion-properties.com,,,,,,,,,,,,,,,,,
TruePoint Capital,truepointcap.com,Katy,Texas,,,,,United States,,,,,,,,,,
Trutina Financial,trutinafinancial.com,Bellevue,Washington,98004,,10811,Main Street,United States,linkedin.com/company/trutina-financial,,,,,,,,,
Saber Equity,saberequityllc.com,,,,,,,,linkedin.com/company/saber-equity-houston,,,,,,,,,
Tucker Development,tuckerdevelopment.com,,,,,,,,,,,,,,,,,
Tunnel Equity,tunnelequity.com,Dallas,Texas,75201,,1700,Pacific Avenue,United States,linkedin.com/company/tunnel-equity-partners-llc,,,,,,,,,
Turnstone Group,turnstonegroup.com,Atlanta,Georgia,30309,,1170,Peachtree Street Northeast,United States,linkedin.com/company/turnstone-group-llc,,,,,,,,,
Tuscan Gardens,tuscangardens.com,Orlando,Florida,32801,,189,South Orange Avenue,United States,linkedin.com/company/tuscangardens,,,,,,,,,
Twentynine17 Capital,twentynine17capital.com,Dallas,Texas,,,,,United States,,,,,,,,,,
Urban Development + Partners,udplp.com,,,,,,,,linkedin.com/company/udplp,,,,,,,,,
UFUND Investment,ufundinvestment.com,Austin,Texas,78759,,,,United States,linkedin.com/company/ufund-investment-llc,,Fund,,,,,,,
The Bernstein Companies,upenn.edu,,,,,,,,,,,,,,,,,
Uprise,uprisetx.com,,,,,,,,,,,,,,,,,
Urban Catalyst Fund,urbancatalyst.com,,England,W1T 2QA,,,,United Kingdom,linkedin.com/company/urban-catalyst-fund,,,,,,,,,
Urban Intent,urbanintent.com,,,,,,,,linkedin.com/company/urban-intent,,,,,,,,,
U.S. Bank,usbank.com,Minneapolis,Minnesota,55402,,800,Nicollet Mall,United States,linkedin.com/company/us-bank,,,,,,,,,
Velocity Venture Partners,velocityventurepartners.com,,,,,,,,,,,,,,,,,
The Veteran Fund,veteran.fund,,,,,,,,linkedin.com/company/theveteranfund,,Fund,,,,,,,
VFR Capital Investments,vfrcapitalinvestments.com,,,,,,,,,,,,,,,,,
Vukota Capital Management,vukotacapital.com,,,,,,,,,,,,,,,,,
Waypoint Pearl,waypointsunvalley.com,,,,,,,,,,,,,,,,,
Ocania Capital,wharton.upenn.edu,,,,,,,,,,,,,,,,,
Wick Capital Partners,wickcapitalpartners.com,Villanova,Pennsylvania,,,,,United States,,,,,,,,,,
Wildflower Ltd,wildflowerltd.com,,,,,,,,,,,,,,,,,
Willow Creek Partners,willowcreekpartners.com,Vienna,Virginia,22182,,8521,Leesburg Pike,United States,linkedin.com/company/willow-creek-partners,,,,,,,,,
Waterstone Capital,wnlawgroup.com,,,,,,,,,,,,,,,,,
Wolters Kluwer,wolterskluwer.com,,,,,,,,linkedin.com/company/wolters-kluwer,,,,,,,,,
Woodworth Contrarian Fund,woodworth.fund,McMinnville,Oregon,97128,,624,Northeast 2nd Street,United States,linkedin.com/company/woodworth,,Fund,,,,,,,
Yodo1,yodo1.com,Beijing,Beijing,,,,,China,linkedin.com/company/yodo1,,,,,,,,,
"Cornerstone Benefits Consulting, LLC",yourcornerstone.net,,,,,,,,,,,,,,,,,
RealSource,yourrealsource.com,Hoover,Alabama,,,,,United States,https://www.linkedin.com/company/realsource/,,,,,,,,,
YummyCiti Inc,yummyciti.com,,,,,,,,,,,,,,,,,
ZaneCRE,zanecre.com,Plano,Texas,75075,,,,United States,linkedin.com/company/zanecre,,,,,,,,,
Ziff Real Estate Partners,ziffcre.com,Mount Pleasant,South Carolina,29464,,210,Wingo Way,United States,linkedin.com/company/ziff-real-estate-partners,,,,,,,,,
Bamcap Group,bamcap.vc,,,,,,,,linkedin.com/company/bamcap,,,,,,,,,
Born Again Real Estate Investments,investingwithpassion.com,,,,,,,,,,,,,,,,,
Crazy Rich Immigrants,crazyrichimmigrants.com,,,,,,,,,,,,,,,,,
Domos,domosfs.com,,,,,,,,linkedin.com/company/domos-fs,,,,,,,,,
Elevation Capital Group,elevationcapitalgroup.com,,,,,,,,linkedin.com/company/elevationcapitalgroup,,,,,,,,,
Endurus Capital,enduruscapital.com,,,,,,,,linkedin.com/company/endurus-capital,,,,,,,,,
Huffman Group,huffman.group,,,,,,,,linkedin.com/company/huffman-group-llc,,,,,,,,,
Invex Capital Group,invexcap.com,,,,,,,,,,,,,,,,,
Madison Investing,madisoninvesting.com,,,,,,,,linkedin.com/company/madison-investing,,,,,,,,,
Mathis,mathis-consulting.com,,,,,,,,https://www.linkedin.com/company/mathis-llc/,,,,,,,,,
NRE Executives,nrecareers.com,,,,,,,,linkedin.com/company/nationwide-real-estate-executives,,,,,,,,,
